idx,center_long,center_lat,long_1,long_2,lat_1,lat_2,roof_orientation,roof_shape,area,building,height,solar_area,energy_produced,radiance,tilt_angle
16,9.989592264735403,53.56083428484313,9.9888623,9.9903201,53.5603302,53.5613374,nan,round,4184.870489556342,public,nan,1883.191720300354,379981.0093636039,1153.0,24.70475085635882
17,9.920856128165306,53.58491703667836,9.9192706,9.9225949,53.5828726,53.587047,nan,nan,24828.28028037399,workshop,nan,11172.726126168296,2252421.5870355284,1152.0,24.726425333010525
18,9.928043007771992,53.59865064158284,9.9275985,9.9284473,53.5985141,53.5988037,nan,skillion,994.7867412972264,office,nan,447.65403358375187,90168.7137146072,1151.0,24.738785577424558
19,10.151605350439509,53.64111142414681,10.1504461,10.1523756,53.64079,53.6414671,nan,nan,4947.931295038667,hospital,nan,2226.5690827674002,448097.0279069393,1150.0,24.77700028173213
20,9.87600445407815,53.47488438367613,9.8755775,9.8763646,53.4747604,53.4750659,nan,flat,1012.5590113064244,retail,4,911.303110175782,184037.66309999916,1154.0,24.627395945308514
21,10.161959360623856,53.64801659214442,10.1615109,10.1624077,53.6477225,53.6483107,nan,flat,1911.0598157346249,yes,7,1719.9538341611624,346140.7091249339,1150.0,24.78321493292998
22,10.16257090019666,53.64779463109352,10.1621708,10.1629707,53.6476857,53.647908,nan,flat,674.679882440716,residential,13,607.2118941966445,122201.3937070747,1150.0,24.783015167984168
23,9.90211932350668,53.47175857082151,9.9017072,9.9024982,53.4715857,53.4719166,nan,nan,1340.8049471806737,supermarket,nan,603.3622262313032,121954.58997700216,1155.0,24.624582713739358
24,10.075319231623308,53.57512686543018,10.0747202,10.0759099,53.5748743,53.5753902,nan,nan,1311.1478165276349,parking,nan,590.0165174374357,118947.32991538703,1152.0,24.71761417888716
25,9.961471703798876,53.56203492538716,9.9612281,9.9617199,53.5618725,53.5621974,nan,nan,607.9569130139425,yes,nan,273.5806108562742,55201.72775552471,1153.0,24.70583143284844
26,10.08779551357902,53.55424102760868,10.0872978,10.0883011,53.5539017,53.554636,nan,nan,4312.916102521354,yes,nan,1940.8122461346095,391947.03310688434,1154.0,24.69881692484782
27,9.969438041347848,53.46828544760934,9.9681486,9.97078,53.4676796,53.468946,nan,nan,9960.23415036127,retail,nan,4482.105367662572,906729.9158781382,1156.0,24.621456902848408
